C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST09:29:02

Vmag < 6
--------

Number of objects : 5156

 #  ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
4679;HD 123569                          ;212.4783926552800 -53.4389457924500;-145.136 -91.064    ;18.2253   ;-17.09      ;4.736    
4680;HD 124147                          ;213.3183771584700 -53.6656592066700;-12.781 -11.434     ;2.2091    ;-3.0        ;5.575    
4681;* v Cen                            ;215.0814275875 -56.3864972089      ;    -9.64 -7.46     ;2.66      ;4.2         ;4.35     
4682;HD 124367                          ;213.7380762864600 -57.0861248348700;-24.007 -20.736     ;7.6043    ;7.00        ;5.07     
4683;NGC 5662                           ;218.7340 -56.6400                  ;  -6.427 -7.243     ;1.288     ;-21.14      ;5.5      
4684;* alf Cen A                        ;219.90205833 -60.83399269          ;-3679.25 473.67     ;743       ;-21.40      ;0.01     
4685;* alf Cen                          ;219.87383306 -60.83222194          ;      -3608 686     ;742       ;-22.3       ;-0.1     
4686;* alf Cen B                        ;219.89609629 -60.83752757          ;-3614.39 802.98     ;743       ;-22.586     ;1.33     
4687;HD 131342                          ;223.8939985955800 -60.1141653521900;-126.026 -113.277   ;18.8519   ;-14.20      ;5.180    
4688;* tet Cir                          ;224.1832807650 -62.7810160892      ;  -11.70 -11.69     ;2.16      ;3.00        ;5.11     
4689;* eps Cir                          ;229.4120544547400 -63.6104675367800;    3.209 9.344     ;7.5809    ;-4.22       ;4.849    
4690;V* LX TrA                          ;231.8878273637899 -64.5314998497000;-14.518 -20.516     ;4.9348    ;-8.72       ;5.706    
4691;CD-65 2007                         ;236.97105382 -65.44228016          ;  -29.88 -37.46     ;8.93      ;-29.70      ;5.53     
4692;HD 145689                          ;244.2725442782300 -67.9412841728900;-46.084 -84.330     ;18.1859   ;-9.00       ;5.944    
4693;V* LP TrA                          ;251.6666316674900 -67.1096903700000;-15.023 -13.646     ;4.9629    ;-2.20       ;5.100    
4694;* eta01 TrA                        ;250.3462823033500 -68.2961219336200;-14.268 -11.680     ;4.3534    ;-10.00      ;5.884    
4695;V* MX TrA                          ;254.89149433 -69.26816268          ;  -14.28 -12.78     ;4.14      ;-1.70       ;5.884    
4696;* alf TrA                          ;252.16622951 -69.02771185          ;   17.99 -31.58     ;8.35      ;-3.00       ;1.92     
4697;HD 154903                          ;258.3244916755699 -67.1965900236700;-155.979 -89.965    ;10.4684   ;-8.01       ;5.873    
4698;* zet Aps                          ;260.4978237342700 -67.7706689881500; -37.437 -7.925     ;11.1175   ;11.36       ;4.78     
4699;HD 175986                          ;285.8734714070699 -68.7555810570700;  -8.476 -5.798     ;19.2022   ;26.37       ;5.861    
4700;* kap Pav                          ;284.2376208063500 -67.2334947809100;  -8.186 16.042     ;5.2451    ;37.80       ;4.40     
4701;HD 177389                          ;287.4702837922400 -68.4244494605900;155.093 -43.209     ;27.1258   ;-9.9        ;5.305    
4702;HD 182709                          ;292.7957114086599 -68.4339202413200; 17.364 -13.943     ;2.8415    ;-12.80      ;5.961    
4703;* mu.01 Pav                        ;300.0962227983600 -66.9494211995900;-17.321 -190.056    ;13.5835   ;22.75       ;5.76     
4704;* mu.02 Pav                        ;300.4685906740400 -66.9439643475800; 38.596 -70.984     ;13.6039   ;42.26       ;5.331    
4705;* del Pav                          ;302.1817036316884 -66.1820674358970;1211.761 -1130.237  ;163.9544  ;-21.543     ;3.56     
4706;CD-62 1338                         ;312.91045336 -62.42932812          ;   83.74 -46.35     ;13.10     ;-16.00      ;5.65     
4707;* pi.02 Gru                        ;335.7832792611600 -45.9284883490000;233.177 -58.241     ;25.2139   ;3.0         ;5.62     
4708;* del01 Gru                        ;337.3173950425 -43.4955623686      ;    25.72 -3.32     ;10.54     ;4.90        ;3.97     
4709;* del02 Gru                        ;337.4393084129 -43.7492213292      ;    -14.08 2.57     ;9.88      ;2.70        ;4.11     
4710;HD 118338                          ;204.2750459966800 -44.1432025848800;-50.227 -13.939     ;8.6567    ;6.58        ;5.957    
4711;HD 120640                          ;207.9467313630900 -46.8986665852000;-17.144 -15.937     ;3.0685    ;-4.70       ;5.752    
4712;HD 121416                          ;209.0824012833200 -46.5929491651600;-137.918 -91.022    ;10.7865   ;-0.17       ;5.815    
4713;* zet Cen                          ;208.88494020 -47.28837451          ;  -57.37 -44.55     ;8.54      ;6.5         ;2.55     
4714;NGC 5460                           ;211.8470 -48.2850                  ;  -6.599 -3.454     ;1.340     ;-4.61       ;5.6      
4715;V* V869 Cen                        ;212.3959687350400 -51.5046757470500;-32.064 -12.414     ;5.8361    ;5.00        ;5.961    
4716;HD 125869                          ;215.9524188285000 -53.1762442780400;-54.062 -10.175     ;9.2755    ;-6.82       ;5.993    
4717;HD 127486                          ;218.3848647561999 -54.9986219774600; -91.721 -3.703     ;13.0793   ;0.80        ;5.87     
4718;* bet Cir                          ;229.3785423196 -58.8012048108      ; -97.74 -134.15     ;32.73     ;9.6         ;4.057    
4719;* gam Cir A                        ;230.844403300 -59.320702200        ;            ~ ~     ;      ~   ;-16.9       ;4.96     
4720;* gam Cir B                        ;230.844548300 -59.320485800        ;            ~ ~     ;      ~   ;~           ;5.59     
4721;HD 135160                          ;229.15288436 -60.90399396          ;    -1.90 -3.07     ;1.94      ;6.00        ;5.73     
4722;HD 135591                          ;229.7047636189100 -60.4963322119500;  -3.109 -3.780     ;1.2091    ;0           ;5.46     
4723;* del Cir                          ;229.2370662914999 -60.9572555772600;  -4.085 -3.758     ;1.4345    ;-17.80      ;5.09     
4724;HD 136359                          ;230.7937648903300 -60.6571700398800;-81.865 -25.224     ;24.0785   ;7.13        ;5.651    
4725;* bet TrA                          ;238.7856752650 -63.4307265364      ;-188.66 -401.85     ;80.79     ;0.40        ;2.85     
4726;* del TrA                          ;243.8594574337 -63.6856803328      ;    2.73 -12.92     ;5.37      ;-4.90       ;3.839    
4727;* iot TrA                          ;246.9889397732700 -64.0579404215000;  53.428 25.638     ;25.0908   ;-5.1        ;5.27     
4728;* tet TrA                          ;248.9367543689600 -65.4953996240000; 34.381 -29.921     ;9.4515    ;9.6         ;5.500    
4729;* eta Pav                          ;266.4332751967 -64.7238720531      ;  -11.96 -56.57     ;9.26      ;-7.60       ;3.581    
4730;HD 172211                          ;280.9055732536400 -64.5514251488300; 12.931 -47.660     ;8.507     ;-10.20      ;5.757    
4731;HD 172555                          ;281.3620874193479 -64.8712596688847;31.952 -149.730     ;34.7355   ;2.00        ;4.767    
4732;* tet Pav                          ;282.1579368455400 -65.0776800403400;-38.400 -78.362     ;15.2311   ;-0.70       ;5.701    
4733;* phi01 Pav                        ;308.8952086153799 -60.5817491231900;69.912 -185.861     ;35.6214   ;-20.00      ;4.745    
4734;* rho Pav                          ;309.3971364533 -61.5299206819      ;   59.61 -72.69     ;17.20     ;10.42       ;4.849    
4735;* phi02 Pav                        ;310.0109895037307 -60.5488940533919;313.012 -569.473    ;40.5683   ;-32.011     ;5.121    
4736;* bet Ind                          ;313.7025115787 -58.4541560594      ;   20.79 -25.20     ;5.33      ;-4.90       ;3.65     
4737;* alf Gru                          ;332.05826970 -46.96097438          ; 126.69 -147.47     ;32.29     ;10.90       ;1.71     
4738;HD 119361                          ;205.91700064 -42.06750855          ;    -19.12 0.53     ;1.63      ;-23.30      ;5.965    
4739;* nu. Cen                          ;207.3761518283 -41.6877089081      ;  -26.77 -20.18     ;7.47      ;9.0         ;3.386    
4740;* mu. Cen                          ;207.4041192892 -42.4737304428      ;  -24.25 -18.64     ;6.45      ;9.20        ;3.43     
4741;* ups01 Cen                        ;209.6697861879 -44.8035858242      ;  -27.51 -22.44     ;7.63      ;4.8         ;3.87     
4742;* ups02 Cen                        ;210.4312790318800 -45.6034096060400;  4.873 -17.824     ;4.9056    ;-0.5        ;4.33     
4743;HD 126983                          ;217.5872622945900 -49.5190370956000;-45.465 -40.154     ;16.4565   ;6.30        ;5.376    
4744;* sig Lup                          ;218.1544027875 -50.4571596136      ;  -29.26 -15.72     ;5.67      ;-1.5        ;4.423    
4745;HD 127501                          ;218.3748687263200 -52.6795186154500; -1.710 -15.477     ;8.9917    ;-40.86      ;5.87     
4746;* b Lup                            ;221.7553902538899 -52.3835172633700;-17.287 -82.275     ;12.442    ;-20.8       ;5.22     
4747;* c Lup                            ;224.0718795519200 -52.8095511448400;   27.364 6.503     ;15.6853   ;7.00        ;5.386    
4748;HD 134270                          ;227.8165972180200 -55.3460299755200;  -3.985 -8.453     ;1.4446    ;-6.45       ;5.43     
4749;HD 139211                          ;234.9855987545100 -59.9083353105700;-121.874 -214.278   ;32.7558   ;-22.712     ;5.95     
4750;HD 142139                          ;239.0246305514100 -60.4824846268500;-38.667 -73.700     ;14.3711   ;-16.70      ;5.76     
4751;HD 148291                          ;247.7056647871000 -61.6335057532800; -11.469 -9.911     ;3.8484    ;5.76        ;5.182    
4752;HD 152082                          ;253.8528700758900 -63.2696604716700;  8.003 -14.188     ;5.7727    ;-8.60       ;5.996    
4753;HD 156838                          ;261.0044813979199 -62.8641539843800;  -0.324 -9.033     ;2.0756    ;4.00        ;5.676    
4754;* iot Pav                          ;272.6089737528300 -62.0022200505600;-76.952 222.452     ;56.1961   ;30.20       ;5.49     
4755;* pi. Pav                          ;272.1450607875 -63.6685529506      ;  18.02 -207.57     ;25.09     ;-15.6       ;4.328    
4756;HD 166599                          ;273.9192273528200 -63.0553639142800;-41.116 -25.396     ;11.3747   ;-6.5        ;5.582    
4757;* nu. Pav                          ;277.8434378575 -62.2783014758      ;   -1.11 -45.31     ;7.43      ;16.95       ;4.64     
4758;* lam Pav                          ;283.0543094400 -62.1875923231      ;   -1.86 -13.02     ;2.28      ;9.00        ;4.207    
4759;HD 188162                          ;299.2762882880700 -58.9013517070700; 22.752 -14.800     ;11.0714   ;-2.0        ;5.241    
4760;V* NU Pav                          ;300.4364391775 -59.3758938167      ;   20.21 -27.10     ;6.86      ;-10.3       ;5.13     
4761;* alf Pav                          ;306.41190437 -56.73508973          ;    6.90 -86.02     ;18.24     ;2.0         ;1.918    
4762;* mu. Ind                          ;316.3093697173800 -54.7270415563300; 15.421 -37.115     ;7.7236    ;13.20       ;5.163    
4763;HD 202103                          ;318.9410960714399 -53.2630887919300; 41.120 -13.821     ;7.6878    ;-12.90      ;5.719    
4764;HD 207129                          ;327.0656298475778 -47.3036160814856;165.069 -295.553    ;64.2717   ;-7.455      ;5.58     
4765;* chi Cen                          ;211.5115343525 -41.1796329944      ;  -22.90 -21.69     ;6.39      ;12.1        ;4.343    
4766;* phi Cen                          ;209.5677783358 -42.1007539753      ;  -22.77 -20.13     ;6.21      ;5.30        ;3.802    
4767;HD 125442                          ;215.1774236713300 -45.1870576749400; 37.502 -73.806     ;21.4601   ;0.00        ;4.77     
4768;* tau02 Lup                        ;216.54505742 -45.37927841          ;    14.62 -7.33     ;10.22     ;-0.60       ;4.35     
4769;* iot Lup                          ;214.8509258125 -46.0580954628      ;   -12.56 -4.76     ;9.65      ;21.60       ;3.529    
4770;HD 126504                          ;216.8006422991000 -46.1341937627400;-150.420 -88.472    ;20.6065   ;-25.6       ;5.811    
4771;* tau01 Lup                        ;216.5342676592 -45.2214254256      ;  -13.09 -14.67     ;2.99      ;-215.0      ;4.553    
4772;* alf Lup                          ;220.4823157775 -47.3881987461      ;  -20.94 -23.67     ;7.02      ;5.40        ;2.286    
4773;* rho Lup                          ;219.4717742800 -49.4258277108      ;  -28.26 -28.82     ;10.32     ;8.00        ;4.05     
4774;* zet Lup                          ;228.0712331483 -52.0992477544      ; -112.92 -71.18     ;27.80     ;-10.00      ;3.41     
4775;HD 141318                          ;237.7783506776500 -55.0555357377700;  -3.446 -4.067     ;1.6512    ;-0.7        ;5.767    
4776;* iot01 Nor                        ;240.88370590 -57.77507336          ; -120.01 -82.09     ;25.39     ;-14.40      ;4.63     
4777;* iot02 Nor                        ;242.3272818514700 -57.9343191134600;-13.979 -59.561     ;12.6306   ;0.00        ;5.570    
4778;HD 145782                          ;243.9574895862400 -57.9123494087500;-12.356 -49.811     ;8.1576    ;-14.80      ;5.622    
4779;NGC 6087                           ;244.7210 -57.9160                  ;  -1.567 -2.411     ;1.025     ;1.14        ;5.4      
4780;HD 147977                          ;247.0631657606500 -58.5997940905300;-21.611 -35.347     ;3.3419    ;1.50        ;5.673    
4781;HD 150745                          ;251.5884411804100 -58.5035954040600; -1.554 -11.007     ;2.45      ;-16.00      ;5.728    
4782;HD 150898                          ;251.8319097341800 -58.3414442007400; -5.579 -20.961     ;0.8809    ;-53.3       ;5.61     
4783;* eta Ara                          ;252.4464855312 -59.0413770831      ;   39.73 -24.91     ;10.90     ;9.00        ;3.744    
4784;HD 156091                          ;259.8021146470200 -59.6946117144100;  -3.126 -8.275     ;2.2616    ;-4.06       ;5.894    
4785;HD 156942                          ;261.0783183671100 -60.6737973396900;  2.905 -11.827     ;3.3222    ;-15.80      ;5.754    
4786;* del Ara                          ;262.7746363363 -60.6838478178      ;  -54.01 -99.25     ;16.48     ;10.00       ;3.62     
4787;HD 161814                          ;267.8977986583600 -60.1640567765300; -0.049 -15.612     ;8.9058    ;17.94       ;5.774    
